gene,coef
Intercept,0
Phkg1,0.013747809811677
Ednrb,0.0106122311786955
Dclk1,0.00978730298835005
Eif4g2,0.00953078278782964
Zfp608,0.00906190487056566
Msmo1,0.00898901061172485
Gpx8,0.00880941568346697
Car8,0.00753000187329036
Ccdc34,0.00735284676138417
Urah,0.00661534320601007
Cyp51,0.00645308456788545
Tmem47,0.00623586977303871
Map4,0.00617296073210152
Hmgcs1,0.0060962806253145
Tmem100,0.00595719930895302
Ddo,0.00584881405074819
Klhl5,0.00578703145002609
Fam81a,0.00568984862528589
Snu13,0.00537961516456468
Mttp,0.00528862998744092
Zcchc18,0.00498987446835953
Sesn3,0.00494379800496311
Srsf3,0.00492137582911466
Copb1,0.00479366544074889
6330403K07Rik,0.00479215675293869
Gpx1,0.00473645522377128
Selenop,0.00470707788219907
Gm11713,0.00433750736561206
Rrnad1,0.00432680841864939
Etf1,0.00422698605826971
Gabbr1,0.00413201097114041
Fez1,0.0041149959472568
Txndc15,0.00389168393395539
Ddah2,0.00384324051342946
Ctbp1,0.00379938687767819
Gja1,0.00379905304771962
Gt(ROSA)26Sor,0.00361555451750939
Kdelr1,0.00359802356758639
Hras,0.00356828280917193
Arpc1a,0.00356777229188958
Sucla2,0.00354874095031819
Pank1,0.00353044620863518
Smim8,0.00344221590832205
Idi1,0.00342011905563031
Cuedc2,0.00334241854602928
Stk39,0.00330939245758212
Tab2,0.0032822020121601
Pdia3,0.00322565542745627
Bhlhb9,0.00322024415746412
Sel1l,0.00320879763026649
Pbxip1,0.00319352599392463
Pan3,0.00315223603875288
Casd1,0.00314528903838653
Emg1,0.00314190308585245
Gem,0.00307195344118138
Epha5,0.00288784005582838
Ankrd10,0.00288351934130539
Dap3,0.00287744817790852
Aifm3,0.00285117185113185
Swap70,0.00282838691582644
Ptbp2,0.00277357762689344
Rbm28,0.00268189497885069
Gm26699,0.00265305902248424
Slc25a3,0.00250455447622805
Immt,0.00246703575030507
Dtd2,0.00245934218448411
Fmo1,0.00245758444708774
