gene,coef
Intercept,0
AC149090.1,2.9638944113048
Ifi27,2.81715016517736
C4b,2.34615120514048
Rida,1.62309504687756
Rbm3,1.0922228388116
Cd302,1.06376226419468
Lgals3bp,1.0270127193308
Dut,0.930404728373329
Fbln5,0.8732313759646
Acot13,0.825423881782948
Zc3hav1,0.816841098489509
Nktr,0.782277748273167
Rtp4,0.74823372260733
Hspa9,0.731719066037096
Gm1698,0.712727505147598
H2-D1,0.698657031857232
Cebpd,0.679124798709338
Ftl1,0.663185717364147
Actg1,0.654720627288028
Atp6ap2,0.650924630373494
Sparc,0.638848331918668
Serpinb1a,0.622232861902169
Krt10,0.619705032484847
Smim4,0.618411535817806
Me1,0.600895519563906
Me3,0.597983903434281
Etnppl,0.585550787050412
Psmb8,0.549562442943272
Gpr37l1,0.52920304595486
Rgma,0.516164755371557
Fus,0.506881074928551
Nap1l5,0.505159544757419
Mysm1,0.477513894385712
Kcnq1ot1,0.463496914696815
Smim10l1,0.441242445295751
Lrrc8a,0.429270606903823
Tspyl2,0.420935552318829
Nvl,0.417873129308425
Lrrcc1,0.417307052632371
Tceal8,0.415538761084215
Lysmd2,0.410459461973094
Hadhb,0.40344776394037
Lgi1,0.401883693242382
Gaa,0.394651872352495
Pdgfa,0.394536969950752
Ggta1,0.391182038749809
Gprasp2,0.388914986749925
Rspo3,0.381002998832473
Nsd2,0.379935801552304
Gpi1,0.378357411702609
Wnt7b,0.377329564840958
Tmem55b,0.377223361540607
Ubxn2a,0.374787667524345
Crip2,0.365297954567962
Il1rapl1,0.364764506668639
Elmod3,0.36147278866199
Map1lc3b,0.349876671902066
Il33,0.349353049151481
Ubn2,0.345718608384377
Trmt1l,0.340356672866543
Smpd2,0.332527749446026
Tma7,0.31747119004386
Fam120a,0.302312960875679
Aldh6a1,0.301305641762612
Ephx1,0.298058530602489
Srsf1,0.296572573149098
Max,0.296412552416181
Mpp6,0.290957174161988
Sap30,0.289536291286076
Atg3,0.286090442850748
Hjurp,0.281936238490888
Akt3,0.280559732119203
Lman1,0.279709850676207
Gm42418,0.278383685447866
Ube2s,0.27364471553255
Ttyh3,0.272045304964092
Tmem205,0.271998530216926
Tmem59,0.265590149000091
U2af2,0.262506949840438
Dpm3,0.261526343471736
Ezr,0.25959672619373
Eno1,0.25952744950769
Tulp4,0.258630852015901
Gtf2b,0.257763386010444
Ifit3,0.252142589881364
Mt1,0.250271731241529
Brd3,0.249411487069436
Nptx2,0.245557224457372
Bola2,0.245415162647344
Mtch2,0.243895030164984
Adk,0.240571394232379
Efr3b,0.2377285431979
Lrrn3,0.236371536740338
Med4,0.23561767137649
Agpat3,0.234965936013302
Sin3b,0.234590309804653
Plekho1,0.226091654694864
Cyba,0.22333839043834
Dmap1,0.220806985271708
Rapgef3,0.22020956413337
Syncrip,0.219923543794213
Ptov1,0.219889068647469
Psmg4,0.218178551126277
Nkx2-4,0.211928462919204
Col5a2,0.208782348787654
Ptgds,0.208095914580271
Wls,0.207258962437799
Glmp,0.203321533285815
Ggps1,0.201915248439957
Acot2,0.200176388893615
Efemp1,0.197230774302991
Prrt1,0.196233426878965
Slc6a11,0.194302335772051
Ccdc127,0.193165221105631
Fbl,0.189822021568917
Csf2ra,0.186328739270596
Zfp706,0.181524299740841
Mxd4,0.180650655042282
Sbno1,0.17439114958812
Pdzph1,0.170518707526564
Mpdu1,0.166662356053993
Pcdh11x,0.164514210740413
Ash1l,0.164283632548865
Bhlhe40,0.16175576621284
Mrpl41,0.161242717315439
Rsf1,0.158024409524971
Prpf38b,0.157194180104033
Alyref,0.154109599497467
Gclc,0.153315273938537
Ppp6r3,0.149643030725362
Nisch,0.147868219935454
Hadha,0.146484876270342
Usp18,0.146378552209608
Rfng,0.145456807162186
Cyp2j9,0.140672335101729
Cdc42bpa,0.13997578668956
AI480526,0.138961019746781
Izumo4,0.135128623834491
Ddt,0.124012804252109
Ppp1r15b,0.120020721978598
Lars2,0.119247369438889
Wnk2,0.117421489075627
Rnf6,0.112375291805661
Chst2,0.11068430836916
Rchy1,0.108803176177138
2310011J03Rik,0.108656280794088
Gfap,0.0962408880032121
Zfand1,0.0923985932405247
Sox2,0.0923553769415323
Ctnnbip1,0.0863418820027841
H2-Ke6,0.0854626188843366
Golgb1,0.0807055045267496
Mrto4,0.0803173203408553
