gene,coef
Intercept,0
Sparc,0.0198356260581221
Rsrp1,0.0125909807367776
Adgrl3,0.012549595636004
Fbxl5,0.00941072201362248
Ndnf,0.00770372327439208
Arntl,0.00761955927240016
Phactr2,0.00760527467883946
Sema6a,0.00746726125536981
Snx3,0.0069997553092236
Gm26669,0.00699545170601337
Erbin,0.00632681283736282
Smox,0.00628262203692819
Hmgcs1,0.00617777067794232
Ubb,0.0061294455402895
Hbegf,0.00610055465712602
Gbp2,0.00608571084103411
Minos1,0.00606933995852554
Camk2d,0.00603849289805126
H1f0,0.00591162670519937
Tubb2a,0.00576702430327849
Lysmd3,0.00567764443087611
1700123O20Rik,0.00523437001601483
Hspb1,0.00520095803454301
Hspa1a,0.00520041586879317
Tuba1a,0.00507438132755395
Hspa5,0.00505019544065273
Tmbim6,0.00499866841396722
Fxyd6,0.00486146375225836
Mex3c,0.00483649866223777
44257,0.00478840361006447
Ccl4,0.00477048805018928
Snx18,0.00462554739888396
Mycn,0.00447134810669615
Zmpste24,0.00442211868986566
Ewsr1,0.00438374254948439
Fkbp4,0.00435812734674574
Pllp,0.00433678781601589
Tsc22d3,0.00403585510074488
AI837181,0.00403082176800549
Usp53,0.00380393834303548
44450,0.00330386567589598
Myo6,0.00330076350149308
Calm3,0.00317574780110309
Fabp5,0.00317381549850849
Ssr1,0.00309514756901735
Hspa14,0.00307730332272971
Htra1,0.00286950369755571
Dpy19l1,0.00281028472475851
Arhgap18,0.0027666190286846
Cnot6l,0.0026502598788677
Gstm5,0.00263607909227435
Rnf138,0.00257576720940816
Stox2,0.00256746714626384
Sec61g,0.00248203379869573
Csrp2,0.00244984289827177
Cdkn1c,0.00241115428910966
Slc50a1,0.00240400842261636
Cisd2,0.00238536732503737
Pnpla8,0.00233355473301749
Ppfia1,0.0023097514096492
Arl6ip1,0.00227268715526087
Slc38a2,0.00225110189504024
Zfr,0.00197107997930959
Psph,0.00191001230732341
Hmgn2,0.00184219769346448
Tyrobp,0.00165413938183175
