gene,coef
Intercept,0
Fcrls,0.0260894068582184
Rsrp1,0.025463037158838
Tmem176a,0.0148332799615972
Slc17a5,0.0117699643553882
Tmem176b,0.0115043128561589
Slc29a1,0.0109341081021269
Klhdc8b,0.0105480961361542
Dmac1,0.0102578721210453
Exosc8,0.00927154203012076
Snx24,0.00761324074721108
B4galt4,0.00746032586961237
Sgk1,0.00720158399971358
Rsf1,0.00688900203759235
Zfp326,0.00677263120935432
Socs3,0.0067643500632125
Tmem206,0.00645030312742811
Zfand5,0.00604157481470523
Sem1,0.00594516611620191
Arsb,0.00586485924943474
Srsf4,0.00564883007988429
Rasa3,0.00563989300541937
Phf14,0.0056385310251037
Dnajb9,0.00558739175295802
Ccdc22,0.00549307180781022
Itgb1,0.00497701333871242
Bmp2k,0.00484381156574975
Sigmar1,0.00464149123370494
Zcchc11,0.0045211398843827
Hnrnpu,0.00438544182566453
Herc1,0.00433519904760081
Klf13,0.0042486733415916
Ube2h,0.00424198471793362
Nae1,0.00417944021779134
Tmx4,0.00413056262252303
Chmp6,0.00408371948485685
Coprs,0.00399626455256922
Tcn2,0.00375466103661368
Pam16,0.00357802559722297
Topors,0.00357166681952281
Ramp1,0.00347810328658289
Gm13889,0.00338908464211739
Hist1h1e,0.00330722868884815
Edem1,0.00326108401944649
Akap13,0.00315275230997819
Adrb1,0.00300899059309072
Slc7a7,0.00296904221424328
Aagab,0.00288402535514623
Arl6ip5,0.00287858965613906
Ints6l,0.00287796482109123
Hdlbp,0.00272257988798499
Hnrnpa3,0.00269453861673128
Vcpip1,0.00267777140100576
Sfr1,0.00263902613041513
Klf2,0.00250546168262264
Atxn1,0.00225273032930768
Lyl1,0.0021033872152563
Vcp,0.00210202110974966
Ldha,0.00206545420315561
Pwwp2a,0.0019403387427175
Tmem141,0.00187503562320713
Slc46a1,0.00182847281866488
Hspa8,0.00178862559851281
Rogdi,0.00167389481963435
Cebpb,0.00165793452077594
Magt1,0.00160849670088258
Idh2,0.00160545870870155
Cd14,0.00149334035660082
Paics,0.00143360706667902
Snrpc,0.00143071752425069
Ptn,0.00141477903600735
Snf8,0.00138635711706023
Rnase4,0.00138149379918017
Eif4a2,0.00134126932992515
Atp13a3,0.00124663444274948
Il4i1,0.00124117480022921
Cntrl,0.00110213340491123
Gatad1,0.00108304331101597
Il11ra1,0.00108264483649374
Gng2,0.00105605026854467
Babam2,0.0010241120035608
Gm10076,0.000995786947504449
Olfml3,0.000951218595170307
Stag1,0.000933096115161285
Hpgd,0.000909437444697894
Plod1,0.000866691913809103
Slbp,0.00085261819159147
Arpc5l,0.000800350200202893
Timm13,0.000785765671759295
Map2k2,0.000752028748029877
Cib1,0.000736314641385668
Smc1a,0.000704773549219998
Ccny,0.000698516621351261
Rpia,0.000653264190945065
Crlf3,0.000623197762706969
Ccs,0.000594216253091785
Hspb1,0.000577098443875086
Mettl7a1,0.000560896870626252
