gene,coef
Intercept,0
Crlf2,2.85568678172837
Naalad2,2.59519967571705
Klk8,2.2044459717362
H2-K1,1.85320474828508
AC149090.1,1.70217882494634
Lamp1,1.56007472386822
H2-D1,1.41447751020556
Rps7,1.31616418340974
Ifi27l2a,0.905607957443394
44257,0.747856261357054
Bri3,0.697790436678446
Cox6a2,0.674637765680318
AW112010,0.666919159433146
H2-Oa,0.644874649841373
Gpsm3,0.568454822682719
Ier3,0.543084729253584
Irf2bpl,0.522915483490164
Serpine1,0.479138794985328
Lyz2,0.439738619554186
Lsp1,0.429804418680054
Abi3,0.417096348925223
Ildr2,0.403698486549977
Man2b1,0.377509429382589
Ifi27,0.37187203451952
Upk1b,0.343275564152269
Gpr84,0.338090707286761
A830008E24Rik,0.326933508630613
Dst,0.325699245599051
Mif,0.287206956703694
H2-DMb1,0.281611201105734
Mrps14,0.249932099005134
Dpysl2,0.216654887729482
Cd74,0.211272345626718
Slamf9,0.174066016837309
Cd180,0.166861834998338
Hebp1,0.161617075858338
Ndufa1,0.151453489627338
Uba52,0.109192406570809
Apoe,0.106811679571659
Gm26522,0.0955567887244697
Gpx1,0.094634773167329
Cst7,0.088310800120753
Cd34,0.0455988784644109
H1f0,0.0357635809437229
Psme1,0.0279214211877138
Vcam1,0.00055682335076205
Rdx,-0.013924796824966
Chd4,-0.018164711973017
Csf1r,-0.0193726314602151
Tmx4,-0.0307240310573315
Rnase4,-0.0344742676701332
Nfic,-0.050418850552415
Ccl5,-0.0529465057377302
Slc7a8,-0.0534093700939064
Usp7,-0.0547137744785762
Tacc1,-0.0653380075339109
Txnip,-0.0690432217236656
Rbm26,-0.0700684300276303
Akap13,-0.0782682514676519
Lgals3,-0.0945135471179356
Gm42418,-0.0992730654766789
Cd14,-0.141822601725651
Smarcd1,-0.150084107292789
Sf3b1,-0.180407776282586
Eif5b,-0.181083896039435
Thoc2,-0.182850144370081
Rsbn1l,-0.206957331888284
Srrm1,-0.216729368087458
Ptn,-0.22569771991859
Cxcl10,-0.245188746901243
Rab3gap2,-0.251628322721737
Arcn1,-0.253043765579584
Sgk1,-0.266967798558246
Usp34,-0.268263810992373
Rab10,-0.278066350094493
Arl1,-0.322459546786587
Mgat4a,-0.329641495897801
Tmem176b,-0.353735784622279
Siglech,-0.374126620204976
Slc15a3,-0.377116195688063
Ubn1,-0.405165512663858
Ostc,-0.420053962615429
Zfp326,-0.433470849978159
Ptbp1,-0.462775827473734
B4gat1,-0.468400499756633
Tm6sf1,-0.477345466061361
Socs3,-0.477652371470973
Cdk2ap2,-0.651405200062924
Hist1h1c,-0.665111601864334
Epb41l2,-0.766312300610464
Adrb1,-1.12882816518585
Klf2,-1.25248858338208
Tmem176a,-1.2675462013517
Sparc,-1.45036357620735
Fcrls,-2.4021144292641
Rsrp1,-3.13192120166879
