gene,coef
Intercept,0
Supt4a,0.0114851862786086
Foxp4,0.0110905038174216
Ewsr1,0.0106912400345119
Vax1,0.0106024273414263
Nrsn1,0.00983212970780445
Mpped2,0.00977997394877265
Taf12,0.00977600943030402
Pcbp4,0.00743494697562647
Stk11,0.00732446878413493
Cadm1,0.00684321780457764
Ezr,0.00659806791672191
Pik3r1,0.00658270134498778
1110008F13Rik,0.00640228796956489
Vps28,0.00622323455036521
Aida,0.00611344050918521
Ergic2,0.006035689560723
Hnrnpdl,0.00589321366241516
Txnl1,0.00578636862055381
Msi1,0.00571550944563411
Morf4l2,0.00560867117216846
Ilk,0.00560014633191797
Lancl2,0.00548399260100084
Vps37d,0.00538670801638289
Synpr,0.00532293628602702
Ndrg4,0.00525979501501257
Gstm7,0.00525061456233555
Wdr1,0.00523922879753604
Ufd1,0.00522079940681885
Mus81,0.00507309471995808
Cops6,0.00507078798760396
Zfx,0.00506780321141168
Rnf8,0.00502849103148493
Tmx1,0.0049982571983883
Chchd4,0.00467836499615134
Cdc42,0.00462020431855715
Mn1,0.00460935470119221
Bsdc1,0.00450987368287509
Ikbkap,0.00439627828488252
Elp6,0.00436033083278363
Hbs1l,0.00430030373277041
Mphosph8,0.00424503475762582
Pax6,0.00413528725363862
Cap1,0.00400597079264058
Copg2,0.00398418828887058
Gnl3l,0.0039332162540037
Actr8,0.00384405948380897
Cops3,0.00384288258545475
Cep44,0.00380903630094126
Rpl7l1,0.00378711748866035
Bcap31,0.003785334437473
Dlgap1,0.00378131707719497
Hist3h2ba,0.00376865139899067
Myl12a,0.0037680355685561
Smap2,0.003705233302221
Traf4,0.00359210592217753
Ei24,0.00351284308783812
Arhgap5,0.00351237833859565
Ccdc47,0.00345499047071882
Iws1,0.00331818857407234
Mtdh,0.00326314384970993
Zmiz1,0.00320582895572908
Sarnp,0.00308155829914485
Cpe,0.00295721000415845
Atp5c1,0.00295474182529212
Rsrp1,0.00295032820893756
Vcan,0.00294778168071061
1110012L19Rik,0.00293537639898104
Fam208a,0.00291645149452905
Gap43,0.00291343835651014
Tpgs1,0.00279747221971502
Gadd45g,0.00278191625150084
Ndn,0.00278135009733368
Rbp1,0.00272850057718383
Fem1c,0.00270393530524347
Fam92a,0.00264869266727761
Dip2c,0.00263205509070074
Fzd2,0.00259954324272372
Zfp579,0.00259212863158591
Itgb1,0.00256357220764823
Zfp148,0.00253227526257267
Pcmt1,0.00253165481243925
Dynlt1f,0.00250019013795016
Spen,0.00249345838622647
Myo1b,0.00249171108509426
Rcor2,0.00248833578947199
Brwd1,0.00246259426632773
Adnp,0.00242218856402466
Arl2bp,0.00235666039196731
Rars,0.00223780811076997
Wdr77,0.00222243066535362
Yy1,0.00217690071120422
Ptrh2,0.00214019225348511
Six3,0.00209092314313552
Ppp2ca,0.00204591841983178
Rnd3,0.00200908805984248
Gm6563,0.00200447176805825
Slc38a1,0.00198572072930348
Maml3,0.00198399846848843
Atp5g1,0.00194631871969403
Ylpm1,0.00194070720834615
Abraxas2,0.0018948157255377
Sh3yl1,0.0018405943244322
Arcn1,0.00183134009149371
Ntng1,0.0018293074430098
Syt6,0.00182668792049239
Exosc7,0.00175048039822119
Trmt112,0.00169334972554779
Agrn,0.00162460543134401
Puf60,0.00160584633381665
Otud5,0.00159949296747748
Kiz,0.00158309755870662
Trip11,0.00158009781154769
Fam110b,0.00155290751335414
Zfp90,0.00148217442183727
Haus6,0.00145583947967361
Oxsr1,0.00144153996018033
Zfp68,0.00142582082488849
Pds5a,0.0014162434513858
0610010K14Rik,0.00138636827974686
Prdx1,0.00137502279378498
