gene,coef
Intercept,0
AC149090.1,5.65130555250889
Ifi27,3.56901487541377
mt-Co1,2.20547996515028
Kansl2,1.22125212467432
Pcdhb9,1.18897503793115
Dynlt1c,1.13953169412154
Dpysl2,0.926499009859224
Dusp8,0.856701597544508
Tmem47,0.823299719572929
Egr1,0.789381195642841
Tiam2,0.739634300969582
Mir124a-1hg,0.707930882433914
Nop10,0.667262369514251
Gfpt1,0.658962749175955
Tspyl2,0.633679968416269
Tecr,0.589226179770358
Hist1h1b,0.586518859813252
Rps6kc1,0.546297505196693
Stambp,0.54129040527837
Arpc5,0.540480714232185
Dynll1,0.528713927331234
Rps19bp1,0.521776884816302
Rnf10,0.514964787500831
Dhx9,0.513200460627597
Tial1,0.504886847535057
Ndufaf7,0.491509954125151
Set,0.488991344163448
Mgst3,0.488954732339896
Rbm33,0.488572075268111
Szrd1,0.471817280557045
Ankrd13b,0.463658503510184
Cmip,0.458268151826402
Slit2,0.453509131997284
Alkbh5,0.447711085174344
Asxl3,0.436163355790761
Srp9,0.40556268239765
Snrnp48,0.405251744163749
Bmi1,0.402322483808573
Mcl1,0.395578139998788
Ftl1-ps1,0.391610692172382
Wbp2,0.38041203895552
3110021N24Rik,0.369180561369006
Myo9a,0.369163995858864
Eapp,0.365603537873076
Anks1b,0.36486309013365
Pcdhb7,0.353962682729339
Hist1h1c,0.351234666807664
Smarcc2,0.347932413598793
Meis3,0.347419900544869
Mvb12b,0.341105667759583
Txnip,0.340901881153277
Zbtb44,0.340350936138044
Mycn,0.338486511106155
Sall3,0.33706875152659
Mtrf1l,0.336443149393031
Thyn1,0.336003768031798
Ifitm3,0.333947455940612
Gramd1a,0.333719189617134
Cnot2,0.317264422802302
Lsm2,0.313743007308204
S100a10,0.313271668313836
Stmn4,0.306162312573005
Gria2,0.305044844346396
D5Ertd579e,0.304281406026613
Stau1,0.301062110465377
Pcgf6,0.294280274081317
Tmem222,0.294218184595451
Yipf4,0.28607631884444
Stat1,0.271997738833088
Rbm7,0.271033776250615
Zeb1,0.269297957396222
Jun,0.266197405420307
Srrt,0.256495515943347
Cmpk1,0.256378024506404
Nln,0.254520640749072
Mkrn1,0.251475480967675
Cdkn2c,0.246979388320056
Nfix,0.243768196394262
Sbf2,0.24357823096208
Gad1,0.235679020807483
Pgrmc1,0.229979002180308
Dstyk,0.22824965382473
Ankra2,0.227331539067249
Mast2,0.223873874073288
Topbp1,0.221208217906569
Thrsp,0.219475895292769
Pim1,0.217735404593169
Hpcal1,0.217209369817794
Herc2,0.215227842193637
Mrpl15,0.21283932436226
Caprin1,0.206961216487142
Wrb,0.20426504054855
Slc25a51,0.200807861893043
Wdr83os,0.196886815323091
Nxph1,0.196633353053022
Ggh,0.194471875474339
Cyp51,0.186576840656044
Kras,0.179021035720591
Oasl2,0.17474081424222
Smarcd3,0.174561477612709
Spopl,0.171282229430186
Kat6b,0.16770781682259
Homer3,0.167345976689744
Pabpc4,0.16566820056155
Rnf165,0.16351061831261
Rhob,0.161529041668102
Ckb,0.161127051091002
Cadm2,0.155775695481876
Ccsap,0.147334490182398
Zfr,0.144592662424671
Fubp1,0.139768623740881
Clns1a,0.138629500363551
Fnbp1l,0.130829019611901
Mitd1,0.128781597675575
Rabif,0.12402868767295
Polr2i,0.123774207845934
Cse1l,0.120209186914253
Magi2,0.114843126788491
Phf20l1,0.112041182189243
Peg3,0.11162343070073
Syncrip,0.109711877818875
Rfesd,0.109516316503132
Syt11,0.108355633283591
Hnrnpul2,0.108225233085972
Insm1,0.10686547444175
Usp18,0.106258153749383
Mex3d,0.103595098949533
Mapk8ip1,0.103579026051146
Ufm1,0.0942920817288197
Prkar1b,0.0940834003494793
Tob1,0.0933237580544497
Samd14,0.0927960873039954
Rbbp7,0.091765343379252
Junb,0.0877379201858695
Prmt7,0.0834074165010744
Dguok,0.0829898883543046
Zfp369,0.078744390115861
Zhx1,0.0763648933036125
Igfbp5,0.0722386471522489
Glud1,0.0643240681785208
Rpf1,0.0613551884784551
Eif3a,0.0611065596666443
Srbd1,0.0599736642517146
Mrpl28,0.0528771189407838
Lrp6,0.0513789427919629
Ube2v2,0.0463678500490065
Fdxr,0.0447423957926999
Fbxo9,0.0444467427409171
Smg7,0.0435140705424171
Mfge8,0.0414836226234739
Commd1,0.0387223011167965
H1f0,0.0366253146202636
Il18,0.0362807264846065
Sox1,0.0324576988950598
Cdh2,0.0310729878217655
Rftn2,0.0306003115502598
Ctsf,0.0292722435739778
Srp19,0.028195936004417
Gprasp1,0.028029640046431
Zfp106,0.0262785841336094
Pwp1,0.0251880704393828
Snrpb,0.024220913852641
Usp9x,0.0227634528217565
Cavin3,0.0210710205047528
Nfia,0.0173741057867242
Csnk2a2,0.0154052099954419
Mthfsl,0.0141909747606861
Mysm1,0.0109998846426825
Chchd1,0.00951165849100064
Tmem234,0.00865194615972785
Smim8,0.00743063980813955
Llph,0.00264560121825786
Zcchc17,-0.00483880961076215
Atg14,-0.00662593492998547
