gene,coef
Intercept,0
Cryab,0.0149097680216357
Spcs1,0.0118669467774533
Josd2,0.0112941431197058
Clptm1l,0.0109960098317235
Gsn,0.00962609590076704
Jund,0.00953134350945343
Nudt4,0.00877796293028813
Stk39,0.00837761303370961
Cd59a,0.0072677349093748
Mt1,0.00709842194278395
D1Ertd622e,0.0068863248667721
Hmgcs1,0.00620098389606017
Anks1b,0.00607832166672832
Ppp1r9a,0.00603372433394056
Marcksl1,0.0054054784617561
Eno1,0.00529209880158219
Gnb2,0.00490972231195373
Creb5,0.00484537243573437
Actg1,0.00481605808558297
Gm28322,0.00467060968785593
Ado,0.00461945100640223
Msmo1,0.00453883578015277
Rnf139,0.00447581987669819
Hebp1,0.00442409847758146
Sox8,0.00439706268377331
Gatad1,0.00438733668575855
Laptm4a,0.0043872870829461
Pdia3,0.00432002878105984
Far1,0.0038029576813582
Olig2,0.00374738636160742
Cyp51,0.00365336046748277
Atp2a2,0.00344897475605408
Vcp,0.00336072535387977
Hist3h2ba,0.00331384001748245
Fbxo32,0.00320040779594995
Stxbp6,0.00291065456079083
Krit1,0.00283008275890547
Phyhipl,0.00271739946578562
Jph4,0.00255207117310915
Add1,0.00254365873996027
Gamt,0.00252177202398924
Ano4,0.00250740038036784
Eps15,0.00240209394576089
Slc48a1,0.00206592340562792
Paip1,0.00203381362794517
Atp6v1b2,0.00203232914100475
Cuta,0.00192698341543271
Nop53,0.00192528906478831
Naf1,0.00186016575452122
Klk6,0.00180187424250668
Jun,0.00155952701218978
Grb14,0.0015563201373596
Map4,0.00151582534680584
Jkamp,0.00148646547288134
Micu3,0.00148594253882692
Hsph1,0.00140381387661684
Tspan15,0.001372300747137
Ptgr2,0.0013198358963966
Emc4,0.00127964459512008
Glrx2,0.00119408621797902
Arrdc3,0.0011475924101744
Gm42418,0.0011406248003933
Oxct1,0.00112760448932537
Kif3a,0.00107062154587919
Hspe1,0.00102098398037237
Tollip,0.000974595920632302
Polr2g,0.000942688575483093
Hist1h1c,0.000892658911745921
Zfp638,0.000784427454966403
Ttyh1,0.000711842020526317
Actr1a,0.000654199890620307
Vmp1,0.000549236445440549
Ccndbp1,0.000454592614352223
Nus1,0.000452259247830757
Tmeff1,0.000421576405365891
Pcyt2,0.000408597795101427
Flii,0.000392920142860051
Hs3st1,0.000336752613680155
Emc3,0.000331468586149099
Gm42372,0.000310925898240692
Zfp62,0.000303863126934963
Nras,0.000227354497065014
Insig2,0.000200972744141188
Map7d2,0.000138889771306218
Hmgn3,0.000125597824206394
Fbxo2,9.53568591423983e-05
Ppp3cb,4.2357369725302e-05
Ttyh2,3.68270591403995e-05
Atf2,-3.58837264894753e-05
Chpt1,-8.52381502912452e-05
Man2a2,-9.70934363425092e-05
Dst,-0.000178997479645434
Atrn,-0.000204773921778453
1110038F14Rik,-0.000268917778689485
Atp11a,-0.000322433394403446
Gtf2e2,-0.000327714148432009
Fut8,-0.000377846170606787
Usp48,-0.000387453091387857
Amfr,-0.000415129493520143
Rab24,-0.000420749559502665
Senp6,-0.000551325952265373
Ccdc12,-0.000575385467858453
Sltm,-0.000614337533323109
Syncrip,-0.000761906201771339
Appbp2,-0.000762188801614342
2010107E04Rik,-0.00080806146757337
Rora,-0.000830105438930279
Tubb3,-0.000847563707067447
Zfp24,-0.000880038932315711
Kdm1a,-0.00095207956041451
Arcn1,-0.000970189519179802
Tmem98,-0.000980800240627823
Eloa,-0.0010128851670354
Gstm6,-0.00102606394437157
Fam177a,-0.0011621484132453
Nap1l1,-0.00124920463280999
Api5,-0.00125860409786175
Neat1,-0.00130003674352739
Mrps6,-0.00137582444379195
S100a1,-0.00143135643191658
Samd8,-0.00151718716484062
Eif5,-0.00171808801751588
Aven,-0.00188424370383653
Tfdp2,-0.00208433568572156
Snrnp70,-0.0021437438968949
Nmt1,-0.00215475138471215
Sv2a,-0.00217439189838444
Tsen34,-0.00223463016673803
Kcna2,-0.0022662412285762
Eif2s2,-0.00245404449956469
Zmynd8,-0.00245899921702733
Kdm6a,-0.0024869617329062
Ralgds,-0.00284561447478054
Ctsz,-0.00291631021238796
Sgk1,-0.00297255133158945
Cbx4,-0.00309260013191749
Ubr3,-0.00330067064245858
Rufy2,-0.00332164665674157
H2-D1,-0.0037245215111321
Zmat2,-0.00394065755703948
mt-Nd5,-0.00422643967519595
Slc24a2,-0.00438696859429371
Vamp8,-0.00475567521602529
Rftn1,-0.00476117558155523
Hipk2,-0.00476613551092203
Anapc5,-0.0049153967499184
Osbpl7,-0.00495665169273692
Psen2,-0.00496711782384261
Nf1,-0.0050458140756974
Adamtsl4,-0.00507149289511723
Cntn1,-0.00543223617628802
Cox7a2l,-0.00566283694379747
1700063D05Rik,-0.00612775499740602
Timm22,-0.00643705747337357
Sparc,-0.00649322167984839
Cirbp,-0.00710218962420356
Rsf1,-0.00736789374766125
Zeb2,-0.00741028631901163
Ptges2,-0.0074322281478048
Bag5,-0.00800912642577971
Camk2n1,-0.00823024166785663
Adipor2,-0.00853148375225526
Cox7c,-0.0088684190407284
Lefty1,-0.00899826143261163
Hopx,-0.00983778294335857
Snca,-0.0105819578867361
Ndrg2,-0.0112167465728508
Pou3f1,-0.0117694120330386
Plekhb1,-0.0136860789532361
Gm47283,-0.0141063057075587
Apoe,-0.0141578521403844
Ubc,-0.0146605317985421
Gstm1,-0.0212122134769341
C4b,-0.0404571232248955
