gene,coef
Intercept,0
C4b,5.8426647
Apoe,3.74929508
Gstm1,1.66515324
Eif3f,1.6118704
Pmp22,1.35410133
Il33,1.33563804
H2-D1,1.21774561
Abca8a,1.17654385
Lefty1,1.15860763
Hopx,1.08360493
Vamp8,0.90432518
1700063D05Rik,0.82763044
Gstm6,0.82678606
Pou3f1,0.65378818
Eef1d,0.63578049
Sox4,0.63513564
Naa20,0.62326144
Dnm2,0.60593635
Ifi27,0.60559202
Snca,0.60151766
Gm42756,0.59125689
Selenom,0.58301322
Ctsz,0.54647584
Dusp23,0.53136973
Bcl7b,0.51976326
Dcdc2a,0.51765216
Stub1,0.48176538
Neat1,0.47613646
Gstp1,0.47133319
Spock1,0.4533465
Sparc,0.44293958
Cryzl2,0.44050897
Gm16233,0.43650481
Cope,0.40058161
Bbip1,0.40033129
Ftl1,0.38842284
Akr1a1,0.36052321
Mpzl1,0.31336352
Hikeshi,0.27080068
Aldh2,0.26826941
Slc12a9,0.25358773
Ppp1r16b,0.24370607
Prpsap1,0.23911242
Htra1,0.23393883
Ndrg2,0.21197551
Aven,0.20507842
Hnrnpa3,0.20362669
Wasf3,0.19672586
Luc7l2,0.18605127
Srgap3,0.15727542
Tex264,0.15032823
Amer2,0.14694516
Dusp3,0.14370377
Rps4x,0.14357928
Gmpr2,0.13476179
Add3,0.13033523
Dusp11,0.10232345
Pxk,0.10088989
Itpr2,0.09690069
Polr3h,0.08832126
Gm42418,0.08660885
AC149090.1,0.08335444
Rftn1,0.08195978
mt-Nd5,0.0782958
Adipor2,0.06922908
Zmat5,0.05149964
Tcp1,0.04864657
Clic5,0.04830015
Rbbp7,0.04429523
Prdx5,0.03627444
Slc30a9,0.03283123
Ppp2r3a,0.02120878
Hspa8,0.00135008
C87436,0.00044
Ndufa6,-0.0105954
Cs,-0.0176651
Serpind1,-0.0199495
Npat,-0.0207807
Leprot,-0.0214907
Rnf208,-0.024086
Zfr,-0.0327364
Tob2,-0.0332003
Cldn11,-0.0346884
Cpeb2,-0.035866
Arhgef10,-0.0407111
Ctnnbip1,-0.067093
Lgmn,-0.0685395
Tmx4,-0.0693152
Cmpk1,-0.069986
Huwe1,-0.0786141
Pole4,-0.0821571
Tfrc,-0.0870331
Tspan15,-0.0948053
Rlf,-0.1189017
Tma7,-0.1195258
D5Ertd579e,-0.1195362
Acbd5,-0.1240923
Cdkn1b,-0.1391534
Creb5,-0.1431139
Pcyt2,-0.15483
Shisa4,-0.1562398
Sod2,-0.1567599
Bex3,-0.170307
Ptgds,-0.1720245
Phf14,-0.1748624
Hmgn3,-0.1776453
Grb14,-0.1804921
Gm48678,-0.1925151
Slc22a17,-0.1928337
Ano4,-0.1986503
Nrd1,-0.2009787
Srsf5,-0.2080449
Cers2,-0.2141364
Dynll2,-0.2716903
R3hdm1,-0.3020911
Pacs2,-0.3043319
Marcksl1,-0.3205673
Nmral1,-0.3349852
Rtl8a,-0.4192401
Sft2d1,-0.4294192
Klk6,-0.4376915
P3h4,-0.4440982
Nemf,-0.4705501
Dek,-0.5305669
Hist1h1c,-0.541571
Tmem128,-0.5769405
Ptms,-0.6683767
Kcna1,-0.7803132
Tmsb4x,-0.781104
Cd59a,-0.7876268
Scd2,-0.844271
Ndrg1,-1.3131744
Anks1b,-1.3457684
