gene,coef
Intercept,0
Hnrnpdl,0.0326822724032948
Hist3h2ba,0.0314502563899044
Rraga,0.0193165850754663
Ntrk2,0.0177361124773526
Gm13889,0.0160580983581043
Mdk,0.01605147131327
Shisa2,0.0143604134582299
Mcee,0.0142345590491902
Eif3i,0.0134908087118666
Copz1,0.0122746907579927
Vim,0.0105849810141506
Hnrnph3,0.0105393376429232
E130114P18Rik,0.0103216017637232
Mpped2,0.0101296850524136
Gad2,0.00956095532671948
Gpcpd1,0.00925678696615555
Ctss,0.00899058862718778
Lsm3,0.00880344477139755
Trim27,0.00858623942091522
Zfp580,0.0085518547667103
Mtx2,0.00850963176313344
Lix1,0.00814504977724294
Pou2f1,0.00804899643610844
Zfp637,0.00804039945325779
Psmb2,0.00798087913481765
Ttc9b,0.00786394812161105
Hist1h1d,0.00783051025393282
Rad50,0.00758130598957179
Timm29,0.00737531227458454
Rbmx,0.0073230264594681
Fam98a,0.00715152452954769
Gjc1,0.00701755875315328
R3hdm1,0.00665947903170741
Adarb2,0.00645970985564516
Usp8,0.00621141721857833
Coro1c,0.00587475481766853
Glul,0.0057527598382888
Ndn,0.00551609018349722
Gadd45g,0.00524091118566993
Plk1,0.00520229109203278
G2e3,0.00482330721550089
Ddx39b,0.00479794779945783
Fscn1,0.00438906525308622
Phf23,0.00434644699992811
Anapc15,0.00422987904565208
Hist1h2ae,0.0042147527866059
Tmbim6,0.00406205199491818
Arl6ip5,0.00354710581685917
Rab8a,0.0033925483533027
Hnrnpll,0.00334747107722153
Gja1,0.00320848065025264
Crlf3,0.00318466727440333
Hsph1,0.00305037079219097
Ppp4r3b,0.00301879422021283
Emg1,0.00301132296527691
Gm42047,0.00300462132938836
Rnf187,0.00288242997193456
Trf,0.00272087536207888
Mcm6,0.00248083925584233
Ahsa1,0.0024544109275824
Fam110b,0.00239604517706305
Zfand5,0.00237493775372589
Nek1,0.00226831093980164
Lrrcc1,0.00225759719233639
Lmo3,0.00224460244743051
Echs1,0.00221150720466822
Gpsm2,0.00221005519587917
Ypel1,0.00214264415418826
Fbxo5,0.00205396293881104
Meg3,0.00199524306216495
Msh6,0.00181018230155252
Papss1,0.00180064518317994
Tubb2a,0.00158711315192767
Dmac1,0.00155721028907967
Vax1,0.00153796819785857
Sub1,0.00146924288687131
Odc1,0.00138688446243643
Etfb,0.00130788885103664
Psap,0.0012554098712066
Rpa3,0.00122503000874012
Kitl,0.00120945103543653
Rrm2,0.0012010882755643
Gm14964,0.00119712693916999
Gng3,0.00116326612894089
Nono,0.00109569419630253
Trim2,0.000999076450080343
Lsm14a,0.000894451580484302
Secisbp2l,0.000699808718489558
Sfrp1,0.00063360362715154
Nrxn3,0.000612304429895859
Asrgl1,0.00061072708668592
Pdik1l,0.000609208609741553
Erh,0.000608857164157556
Mphosph10,0.000604683124920729
Elavl2,0.000569363991936955
Iqcb1,0.000484505944737624
Mest,0.000320778437487333
Selenop,0.000272582005941244
Cdc27,0.000212658988618998
Klf7,0.000182263370783387
Oxa1l,0.000142940966060816
Ctsb,0.000108546147188718
Fos,4.05936174703772e-05
Mcts2,3.93460962606943e-05
Erlec1,3.39843567340072e-05
Frg1,2.0534702614202e-05
Eif2s2,-6.52687317417779e-05
Etnk1,-0.00011239647661263
Grk3,-0.000135208259724991
Zfp219,-0.000249515565732159
Celf4,-0.000251063907119626
Vps4b,-0.000352318222969629
Msantd3,-0.000356469731580991
Ide,-0.000680042875411327
Haus8,-0.000744738275242915
Suco,-0.000767954507052096
9330159F19Rik,-0.000817634438408958
Nfil3,-0.000857307741164792
Dynll1,-0.000925684438355244
Thrsp,-0.00095918891806682
Ptn,-0.00100695904234178
Efhd2,-0.00110195548918019
Cep83,-0.00114118107246028
Smim14,-0.0011568555184605
Fbxw7,-0.00129003366583197
Uchl3,-0.00129457127171179
Gpm6b,-0.00131431193337909
Wdr45b,-0.00135269487771732
Tpt1,-0.00138108652591126
Mt1,-0.00139620095182949
Sox1,-0.00139907119136539
E2f8,-0.001411787726193
Hist3h2a,-0.00141412265996545
Ebp,-0.00144251111818767
Atp2b1,-0.00147572811608847
Gm26917,-0.0014825772929458
Mrpl49,-0.00154261979069167
Nfkbia,-0.00160769281970082
Tecr,-0.00167226987899323
Ppp4r2,-0.00174195131115124
Brd3,-0.00179948822352881
Ifitm3,-0.00189439262851521
Jun,-0.00210005596656573
Hells,-0.00210649220414596
Zfp821,-0.0022375536444909
Lhx2,-0.00237472200611879
Bcl7a,-0.00260325307666046
Rpl5,-0.00270401692377423
Kmt2a,-0.00275048452938335
Cdk6,-0.00281179544500388
Cox7a2l,-0.00283108284656671
Plp1,-0.00286418360374331
Fam92a,-0.002905786985292
Elavl4,-0.00295216648947168
Ier2,-0.00295625038893382
Rock1,-0.00311604727161494
Commd8,-0.00312349690517362
Zfp512,-0.00323943082207657
C130071C03Rik,-0.00329316712335
Csrp1,-0.00338395303498357
Ccnk,-0.00357796172907957
Ttc28,-0.00364834740679804
Knl1,-0.00389454751500039
S100a10,-0.00394263082842485
Kpna4,-0.00408026092635015
Hist1h2bc,-0.00431934195538717
Galnt1,-0.0044626640305252
Mllt10,-0.00453721802884953
Prps2,-0.00460089470852166
Msmo1,-0.00464617660577074
Fam120a,-0.00478388630837879
Fam133b,-0.00484877550476439
Map2,-0.0050497976778131
Crip1,-0.00521741793892384
Gm17750,-0.00524989484992776
Ift81,-0.00527770207401914
Dbx2,-0.00537481939530063
Gm10561,-0.00542712668242093
Cttnbp2,-0.00548519537677202
Cenpw,-0.00549866185369417
Hspa5,-0.00555187358589633
Csnk1e,-0.00559920348888148
Hist1h4d,-0.0064304851345509
Pum3,-0.00691275919867185
P4hb,-0.00713113082815544
Gm1673,-0.00715197949278899
Cenpn,-0.00744934477070838
Zfp36l2,-0.00783417788386853
Pdlim7,-0.00797811534235775
Mfge8,-0.00805776607393199
Ska1,-0.00811979466475886
Pid1,-0.00824357087312006
Tmem33,-0.00832544586135591
Ckb,-0.00884795352110985
Ddx3y,-0.00950047393432373
Wls,-0.0102749351929499
Lmo1,-0.0104462488278964
mt-Co1,-0.0108102125996023
Sox4,-0.0109568984443989
Rufy3,-0.0120661792004508
Gm47283,-0.0122400958363407
Asns,-0.0127647234667894
Zbtb18,-0.0128045160768428
Eif5,-0.0134150096609639
Tmem35a,-0.0138455696703524
Spag5,-0.0143998385897193
H2-D1,-0.0170782418897013
Rif1,-0.0175653882179393
Ifi27,-0.0202770702943608
Rbm3,-0.0317740736924593
AC149090.1,-0.0404207266186296
