gene,coef
Intercept,0
Ifi27,4.75687650012684
AC149090.1,4.73184079347958
Ckb,2.04060550107504
Map2,1.73116148937152
H1f0,1.70296698147097
Gm3764,1.39304880784946
Pcdhb7,1.3039314830828
Dpy19l1,1.24595374694206
Hist1h1c,1.20755345535014
Rif1,1.20562128337472
Hist1h1a,1.18997277698067
Tmed7,1.17087294446667
Cadm4,1.1668453656894
Bok,1.12543616231018
Ifitm3,1.11143712090273
Hspa8,1.0230938310672
Sox1,1.00759345599165
Anks1,1.00355882255856
Aprt,0.965517453044794
Tecr,0.965110810927272
Nsg1,0.95508100455911
Rbm3,0.945126133657317
Akt2,0.929244364094657
Fzr1,0.907804864380689
Slit2,0.838142077974142
Pid1,0.833865943358736
Fam3c,0.833343529784772
Dhrs4,0.799519047205653
Sox4,0.706853292061781
Kif4,0.66213322224973
Serinc1,0.643980126868997
Gm17750,0.629121901324804
Hist1h1e,0.597966380033463
Tsfm,0.581947821210429
Gm47283,0.562024418093361
Emc2,0.55986107706564
Dbx2,0.551873731952703
Tfdp1,0.51075516300283
Pum3,0.510425761366066
Kctd2,0.505656118431256
Hmgcr,0.477666874671541
Asns,0.472918150720932
Etv1,0.454940539791873
Homer2,0.451200588202059
Tmed4,0.446702339968257
Ube2d2a,0.428220300728716
Nkx2-4,0.416677066849117
Wls,0.413986936046085
Gsx1,0.406336719828049
Klf6,0.402184373670858
Galnt11,0.391040389386411
Rae1,0.384835176739221
Tpx2,0.365391210597124
Slc25a36,0.317783125770588
Ubald2,0.290090900000348
Gas2l3,0.276531338763021
Hist1h1b,0.269154820954252
Vamp7,0.267146346078644
Pex13,0.248187716109023
Ier2,0.232630289589283
Smim14,0.211671479153013
Hist1h2ap,0.20917502860627
Fam60a,0.150360234936056
Dclk2,0.104663346838277
Ei24,0.0910195287356008
Maz,0.0847568065649311
1110038F14Rik,0.0681604230106677
Trmt10c,0.0469144375815876
Atp6v1b2,0.0421320962407137
Snx3,0.0359833304338786
Mrpl49,0.0205491036620255
Cntln,0.0200518596010362
Nit2,0.0104120644797905
Acbd5,0.00300982892635939
Ptrh2,0.00211738919816371
Hist1h2af,-9.4443237219203e-05
Shtn1,-0.00239312879258018
Ccnb1,-0.00944000342134711
Srsf5,-0.0314162028175769
Cox17,-0.0415328940843492
Cald1,-0.0415861058657571
Ccdc124,-0.0449436537471625
Clk1,-0.0525399918034518
Ylpm1,-0.0632565431756795
Slc1a2,-0.0667081584241889
Stmn2,-0.0788275005689072
Pspc1,-0.0865107450775981
Pfdn6,-0.106991062574749
Capns1,-0.113478479918461
Mal,-0.113787673584876
Rbbp7,-0.127324137963086
Mrpl52,-0.134009431621823
BC005561,-0.137148016321941
Tead1,-0.146204761445685
Lmo4,-0.152797560917477
U2surp,-0.163697380013385
Fam98a,-0.170193072247617
Fam172a,-0.172815412005925
Ube3c,-0.180339290652243
Dnmt3a,-0.186911077236883
Sox11,-0.203868974457165
Tubb2a,-0.20450989605419
Brd1,-0.220306784419676
Klf2,-0.233664411697481
Brwd1,-0.245442803736567
Zmynd8,-0.246038281093414
E130114P18Rik,-0.246313566841827
Ctss,-0.256596223689946
Odc1,-0.258080948710543
Ahcyl1,-0.259753190455336
Mrps16,-0.261470174369041
Myl12b,-0.261807048337372
Trim2,-0.265663133266975
Vim,-0.278806599650648
Gjc1,-0.280941894748829
Lars,-0.300189162309206
Rpl23a,-0.30026985928189
Gad2,-0.323667339215363
Zfp580,-0.348381371840368
Kmt2b,-0.356486110830304
Pdap1,-0.357989076176269
Tomm70a,-0.359463083532113
Hsp90aa1,-0.392604722289843
Dlx6os1,-0.401882602919867
Rab8a,-0.40287303870279
Pcbp4,-0.430557911585542
Mrrf,-0.446368786886376
Lig1,-0.474018690608121
Bzw2,-0.531664990313149
Copz1,-0.544547945016783
Igfbp5,-0.560000790162127
Klf7,-0.634180340370328
Cadm1,-0.641152578316727
Plpp3,-0.663383321241471
Phf23,-0.673155025474574
Gins4,-0.677192533977609
Anapc13,-0.697972418355447
Copg1,-0.719180854588069
Dguok,-0.769275236705543
Mex3a,-0.770630406409309
BC005537,-0.779868887640541
Hirip3,-0.892852115633553
Zfand5,-0.892915358565048
Mest,-0.919448908902543
Gm13889,-0.92130172123413
Magt1,-0.922264490891499
Gadd45g,-0.955017507468341
Sfrp1,-1.03316315850381
Asap1,-1.06695864132804
Psme2,-1.071033647445
Adarb2,-1.0871482429152
Snf8,-1.14055246553145
Lix1,-1.21389633654858
Mdk,-1.32170233379118
Psmb2,-1.40391385501028
Pax6,-1.41358741270977
Ntrk2,-1.54893200757361
Hist1h2ae,-1.84910493913668
Rsrp1,-1.96136006408609
Shisa2,-1.97390160521015
Hist1h1d,-2.02535261981679
Ncapg2,-2.09147214300109
Hist3h2ba,-2.84433576401281
